clock;n_acquiring_goal;n_cum_acquiring_goal;n_vectoring_to_goal;n_cum_vectoring_to_goal;n_exploring_for_goal;n_cum_exploring_for_goal;
1000;16;15984;1;369;15;15615;
2000;16;15984;0;610;15;14985;
3000;16;15984;0;0;15;14985;
4000;16;15984;1;131;14;14854;
5000;16;15984;1;1166;13;13763;
6000;16;15984;1;998;13;12988;
7000;16;15984;2;1583;11;11858;
8000;16;15984;1;1672;10;10312;
9000;16;15984;0;300;10;9990;
10000;16;15984;2;725;9;9409;
11000;16;15984;1;1370;9;8991;
12000;16;15984;1;999;9;8991;
13000;16;15984;1;999;9;8991;
14000;16;15984;2;1371;9;8991;
15000;16;15984;3;2248;9;8991;
16000;16;15984;3;2997;9;8991;
17000;16;15984;5;3599;9;8991;
18000;16;15984;5;4995;9;8991;
19000;16;15984;7;5711;9;8991;
20000;16;15984;8;7152;8;8832;
